z,y,x,concentration
2.0,-2068.5,4571.428571428572,4.9307e-10
2.0,-2068.5,4857.142857142857,1.7422e-10
2.0,-2068.5,5142.857142857143,5.02e-11
2.0,-2068.5,5428.571428571428,1.1901e-11
2.0,-2068.5,5714.285714285715,2.3447e-12
2.0,-2068.5,6000.0,3.8656e-13
2.0,-2068.5,6285.714285714286,5.1715e-14
2.0,-2068.5,6571.428571428572,4.9701e-15
2.0,-2068.5,6857.142857142857,0.0
2.0,-2068.5,7142.857142857143,0.0
2.0,-2068.5,7428.571428571428,0.0
2.0,-2068.5,7714.285714285715,0.0
2.0,-2068.5,8000.0,0.0
2.0,-2068.5,8285.714285714286,0.0
2.0,-2068.5,8571.428571428572,0.0
2.0,-2068.5,8857.142857142857,0.0
2.0,-2068.5,9142.857142857143,0.0
2.0,-2068.5,9428.57142857143,0.0
2.0,-2068.5,9714.285714285714,0.0
2.0,-2068.5,10000.0,0.0
2.0,-1880.5,0.0,1.1454e-13
2.0,-1880.5,285.7142857142857,8.2745e-13
2.0,-1880.5,571.4285714285714,4.9555e-12
2.0,-1880.5,857.1428571428571,2.4604e-11
2.0,-1880.5,1142.857142857143,1.0134e-10
2.0,-1880.5,1428.5714285714287,3.4629e-10
2.0,-1880.5,1714.2857142857142,9.8314e-10
2.0,-1880.5,2000.0,2.3241e-09
2.0,-1880.5,2285.714285714286,4.5899e-09
2.0,-1880.5,2571.4285714285716,7.605e-09
2.0,-1880.5,2857.1428571428573,1.0607e-08
2.0,-1880.5,3142.857142857143,1.2453e-08
2.0,-1880.5,3428.5714285714284,1.2241e-08
2.0,-1880.5,3714.285714285714,9.9713e-09
2.0,-1880.5,4000.0,6.6496e-09
2.0,-1880.5,4285.714285714286,3.5932e-09
2.0,-1880.5,4571.428571428572,1.5647e-09
2.0,-1880.5,4857.142857142857,5.494e-10
2.0,-1880.5,5142.857142857143,1.5657e-10
2.0,-1880.5,5428.571428571428,3.6611e-11
2.0,-1880.5,5714.285714285715,7.1082e-12
2.0,-1880.5,6000.0,1.1574e-12
2.0,-1880.5,6285.714285714286,1.5866e-13
2.0,-1880.5,6571.428571428572,1.455e-14
2.0,-1880.5,6857.142857142857,0.0
2.0,-1880.5,7142.857142857143,0.0
2.0,-1880.5,7428.571428571428,0.0
2.0,-1880.5,7714.285714285715,0.0
2.0,-1880.5,8000.0,0.0
2.0,-1880.5,8285.714285714286,0.0
2.0,-1880.5,8571.428571428572,0.0
2.0,-1880.5,8857.142857142857,0.0
2.0,-1880.5,9142.857142857143,0.0
2.0,-1880.5,9428.57142857143,0.0
2.0,-1880.5,9714.285714285714,0.0
2.0,-1880.5,10000.0,0.0
2.0,-1692.5,0.0,3.0215e-13
2.0,-1692.5,285.7142857142857,2.1832e-12
2.0,-1692.5,571.4285714285714,1.3078e-11
2.0,-1692.5,857.1428571428571,6.4969e-11
2.0,-1692.5,1142.857142857143,2.6763e-10
2.0,-1692.5,1428.5714285714287,9.151e-10
2.0,-1692.5,1714.2857142857142,2.6012e-09
2.0,-1692.5,2000.0,6.1637e-09
2.0,-1692.5,2285.714285714286,1.2229e-08
2.0,-1692.5,2571.4285714285716,2.0421e-08
2.0,-1692.5,2857.1428571428573,2.8817e-08
2.0,-1692.5,3142.857142857143,3.4343e-08
2.0,-1692.5,3428.5714285714284,3.4309e-08
2.0,-1692.5,3714.285714285714,2.8361e-08
2.0,-1692.5,4000.0,1.9119e-08
2.0,-1692.5,4285.714285714286,1.0388e-08
2.0,-1692.5,4571.428571428572,4.521e-09
2.0,-1692.5,4857.142857142857,1.5772e-09
2.0,-1692.5,5142.857142857143,4.4432e-10
2.0,-1692.5,5428.571428571428,1.0235e-10
2.0,-1692.5,5714.285714285715,1.9563e-11
2.0,-1692.5,6000.0,3.1396e-12
2.0,-1692.5,6285.714285714286,4.2589e-13
2.0,-1692.5,6571.428571428572,4.7396e-14
2.0,-1692.5,6857.142857142857,3.731e-15
2.0,-1692.5,7142.857142857143,0.0
2.0,-1692.5,7428.571428571428,0.0
2.0,-1692.5,7714.285714285715,0.0
2.0,-1692.5,8000.0,0.0
2.0,-1692.5,8285.714285714286,0.0
2.0,-1692.5,8571.428571428572,0.0
2.0,-1692.5,8857.142857142857,0.0
2.0,-1692.5,9142.857142857143,0.0
2.0,-1692.5,9428.57142857143,0.0
2.0,-1692.5,9714.285714285714,0.0
2.0,-1692.5,10000.0,0.0
2.0,-1504.5,0.0,7.1983e-13
2.0,-1504.5,285.7142857142857,5.2027e-12
2.0,-1504.5,571.4285714285714,3.1172e-11
2.0,-1504.5,857.1428571428571,1.5488e-10
